ChemblID,smiles,docking score
CHEMBL1722820,Cc1ccc(C)c(NC(=O)C(OC(=O)c2cc[n+]([O-])cc2)c2ccccc2)c1,-12.457
CHEMBL487717,CN1C(=O)Nc2nccc(Oc3ccc(NC(=O)Nc4cccc(c4)C(F)(F)F)c4ccccc34)c12,-12.109
CHEMBL3643672,NC(=O)Nc1cc(CC(O)c2cccc(F)c2)ccn1,-11.765
CHEMBL2337375,Clc1ccc2c(NCCn3nncc3CN3C(=O)C(=O)c4ccccc34)ccnc2c1,-11.635
CHEMBL2335871,COCCNC(=O)c1ccc(Nc2ncc3cc(ccc3n2)-c2cnccc2C)cc1,-11.553
CHEMBL287531,CC(C)C(=O)NCCNCC(O)COc1cccc2[nH]ccc12,-11.278
CHEMBL99926,NC1=NC(=O)N(C=C1)C1OC(CO)C(O)(C2CC2)C1O,-11.205
CHEMBL495117,CC1(C)CCC(C)(C)c2cc(ccc12)-c1cc(ccc1O)-c1ccc(C=CC(O)=O)cc1,-11.123
CHEMBL2208239,O=C(NCc1ccccc1)C1=Cc2ccccc2NC1=O,-11.112
CHEMBL3685117,CCNC(=O)Nc1ncc2cc(ccc2c1F)-c1cc(F)ccc1C,-11.019
CHEMBL3210250,Clc1ccc(CC2SC(NN=Cc3cccs3)=NC2=O)cc1Cl,-10.842
CHEMBL588991,C(Cc1cccnc1)NCc1ccc(cc1)-c1cccc(c1)-c1nc2ccccc2[nH]1,-10.812
CHEMBL494525,COC(=O)C(CCCCNC(=O)c1cccc(O)c1O)NC(=O)c1cccc(O)c1O,-10.812
CHEMBL117764,CC1(C)CCC(C)(C)c2cc(OCCOc3ccc(CC(C(O)=O)C(O)=O)cc3)ccc12,-10.77
CHEMBL460567,CN1C(=O)C(OCc2ccc(cc2)C(N)=N)Oc2cc(ccc12)C(=O)NCCC(O)=O,-10.637
CHEMBL2177284,COc1ccc(Cl)cc1C(=O)NCCc1ccc(cc1)C(=O)OC[O+]=NN([O-])N1CCCC1,-10.606
CHEMBL1466769,CCOC(=O)CN1C(=O)C=C(C2=C1CCCC2)c1ccccc1OC,-10.55
CHEMBL1875306,COc1cc(CNC(=O)c2cc([nH]n2)-c2cc(C)cc(F)c2)cc(OC)c1,-10.523
CHEMBL1766468,CCCCc1nc(Cn2cc(CNC3C(O)C(O)C(O)C(O)C3O)nn2)c[nH]1,-10.343
CHEMBL1861008,ON=C(N1CCSCC1)c1cccnc1OCc1ccccc1,-10.285
CHEMBL1700275,COc1cccc(C(O)Cc2nc3ccccc3n2C)c1OC,-10.269
CHEMBL1317315,Cc1cc(C)c(-c2csc(NC(=O)CCCC3=NC(=O)c4ccccc4N3)n2)c(C)c1,-10.256
CHEMBL1568662,CC(C)CCNc1ncnc2n(ncc12)-c1cccc(Cl)c1,-10.137
CHEMBL31713,COc1cc(Cc2cnc(N)nc2N)cc(OCCCCCCC(O)=O)c1Br,-10.047
CHEMBL1712355,CC(N)C(=O)NCC1OC(C(O)C1O)n1cnc2c(N)ncnc12,-10.003
CHEMBL222543,OC(=O)c1cc(C=C2CCCC(=Cc3ccc(O)c(c3)C(O)=O)C2=O)ccc1O,-9.932
CHEMBL3189098,Cc1cnc(nc1NCC1CCN(CC1)c1cccnc1)-c1ccccc1CO,-9.928
CHEMBL3207929,Clc1ccc(cc1)C(=O)NCC(=O)NN=Cc1cccnc1,-9.923
CHEMBL111813,[O-][N+]1=C(C(=C)NO1)S(=O)c1ccccc1,-9.896
CHEMBL1865392,COc1ccc(cc1)C(C)(O)c1nc(cs1)-c1ccccc1C,-9.881
